movie_ID,actors
tt0329353,Luciano Gregory
tt0329353,Jean Lafront
tt0329353,Emil Luiz
tt0329353,Maracy Mello
tt0329353,José Meneses
tt0329353,Carlos Miranda
tt0329353,Turíbio Ruiz
tt0329353,Eddio Smanio
tt0329353,Xerém
tt0236020,Amácio Mazzaropi
tt0236020,Geny Prado
tt0236020,Roberto Pirillo
tt0236020,Dina Lisboa
tt0236020,Araken Saldanha
tt0236020,Dilma Lóes
tt0236020,Cláudio Mechi
tt0236020,Yaratan
tt0236020,Tony Vieira
tt0236020,Gilmara Sanches
tt0236020,Henricão
tt0236020,Ester Fonseca
tt0236020,Milton Pereira
tt0236020,Judith Barbosa
tt0236020,Reginaldo Peres
tt0236020,Kleber Afonso
tt0236020,Roberto Câmara
tt0236020,Linda Fernandes
tt0236020,Rogerio Camara
tt0236020,Carlos Garcia
tt0236020,Luiz Homero
tt0236020,Rivaldo Perez
tt0236020,Quinzinho
tt0236020,Augusto César Ribeiro
tt0236020,Nhô Tide
tt0236020,Bayard Tonelli
tt0236020,José Velloni
tt0236020,Zequinha
tt0270865,Cid Moreira
tt0188131,Fernanda Montenegro
tt0188131,José Lewgoy
tt0188131,Renato Machado
tt0188131,Anecy Rocha
tt0188131,Rejane Medeiros
tt0188131,Suzana de Moraes
tt0188131,Marina Montini
tt0188131,Ivan Pontes
tt0241937,Aninha
tt0241937,Nhá Barbina
tt0241937,Letácio Camargo
tt0241937,Candinho
tt0241937,Tião Carreiro
tt0241937,Marlene Costa
tt0241937,Paulo Cézar
tt0241937,Francisco Di Franco
tt0241937,José Diniz
tt0241937,Egídio Eccio
tt0241937,Luiz Gomes
tt0241937,Nhô Juca
tt0241937,Mariazinha
tt0241937,Manuel Marques
tt0241937,Clenira Michel
tt0241937,Miguel
tt0241937,Cavagnole Neto
tt0241937,Pardinho
tt0241937,Carlos Reichenbach
tt0241937,Saracura
tt0241937,Darcy Silva
tt0241937,Simplício
tt0241937,Cecília Rosa Thumin
tt0196826,Armando Bógus
tt0196826,Irina Greco
tt0196826,Marisa Urban
tt0196826,Luís Jasmim
tt0196826,Flávio Migliaccio
tt0196826,Valentina Godoy
tt0196826,Marilene Silva
tt0196826,Jacqueline Laurence
tt0196826,Dilma Lóes
tt0196826,Mara de Carvalho Ferro
tt0196826,Rui Barbosa
tt0196826,Dorival Carper
tt0196826,Marina Montini
tt0198360,Norma Bengell
tt0198360,Tetê Medina
tt0198360,Carlos Kroeber
tt0198360,Nelson Dantas
tt0198360,Rubens Araújo
tt0198360,Augusto Lorenzo
tt0198360,Joseph Guerreiro
tt0198360,Leina Krespi
tt0198360,Nuno Veloso
tt0066936,Arduíno Colassanti
tt0066936,Ana Maria Magalhães
tt0066936,Eduardo Imbassahy Filho
tt0066936,Manfredo Colassanti
